variant,n,k_correct,accuracy,wilson_95_ci_low,wilson_95_ci_high,p_vs_chance_0.25
E_PLUS,18,14,0.7777777777777778,0.5478541568378739,0.9099907189139833,3.948283847421408e-06
E_MINUS,18,10,0.5555555555555556,0.33716415642042774,0.7544048187299437,0.0054217792057897896
O_PLUS,18,7,0.3888888888888889,0.20305246572163624,0.6138095839776211,0.13898478297051042
O_MINUS,18,3,0.16666666666666666,0.05836576805861449,0.3922203810391574,0.8646949572721496
OVERALL,72,34,0.4722222222222222,0.361265103378347,0.5859932950992339,3.707375439062879e-05
