variant,n,k_correct,accuracy,wilson_95_ci_low,wilson_95_ci_high,p_vs_chance_0.25
E_PLUS,18,15,0.8333333333333334,0.6077796189608428,0.9416342319413856,3.414461389183998e-07
E_MINUS,18,16,0.8888888888888888,0.672002348698212,0.9689804773543876,2.0838342607021332e-08
O_PLUS,18,10,0.5555555555555556,0.33716415642042774,0.7544048187299437,0.0054217792057897896
O_MINUS,18,5,0.2777777777777778,0.12499753379553993,0.5087265656029747,0.4813306695432402
OVERALL,72,46,0.6388888888888888,0.5235248046738358,0.7401832029382592,3.845162674011787e-12
