variant,n,k_correct,accuracy,wilson_95_ci_low,wilson_95_ci_high,p_vs_chance_0.25
E_PLUS,15,11,0.7333333333333333,0.48049565944019423,0.8910254667430763,0.00011533591896295547
E_MINUS,12,11,0.9166666666666666,0.646120088858883,0.9851349055950829,2.205371856689453e-06
O_PLUS,12,6,0.5,0.253781597633706,0.746218402366294,0.05440223217010498
O_MINUS,12,3,0.25,0.08894166839405476,0.5323053349335658,0.6093249917030334
OVERALL,51,31,0.6078431372549019,0.4708515898394834,0.7297265901824019,6.700377447781164e-08
