variant,n,k_correct,accuracy,wilson_95_ci_low,wilson_95_ci_high,p_vs_chance_0.25
E_PLUS,19,18,0.9473684210526315,0.7536126883310121,0.9906480059376996,2.1100277081131935e-10
E_MINUS,18,11,0.6111111111111112,0.386190416022379,0.7969475342783638,0.0012439790880307555
O_PLUS,19,13,0.6842105263157895,0.4601040767532747,0.8463562091220773,8.347905531991273e-05
O_MINUS,18,4,0.2222222222222222,0.09000928108601691,0.45214584316212625,0.6943108293926343
OVERALL,74,46,0.6216216216216216,0.5077145897601354,0.7235246530893924,1.572213406480153e-11
